因子,行情周期,随机种子,种群数量,迭代代数,样本内算术年化收益,样本内夏普,样本内固定本金回撤,样本内收益回撤比,样本外算术年化收益,样本外夏普,样本外固定本金回撤,样本外收益回撤比
factor_1001,1H,20396,60,8,0.164,0.965,0.101,1.627,-0.025,-0.166,0.152,-0.167
factor_1001,2H,18192,60,8,0.259,1.467,0.088,2.943,-0.032,-0.202,0.132,-0.242
factor_1001,4H,63697,60,8,0.327,1.791,0.096,3.403,0.08,0.469,0.177,0.454
factor_1002,1H,38012,60,8,0.252,1.469,0.116,2.172,0.246,1.666,0.079,3.109
factor_1002,2H,79748,80,10,0.308,1.478,0.13,2.371,0.27,1.873,0.075,3.599
factor_1003,1H,76743,80,10,0.351,2.127,0.087,4.037,0.114,0.765,0.087,1.308
factor_1003,2H,67795,96,12,0.445,2.339,0.099,4.496,0.392,2.11,0.119,3.297
factor_1004,1H,73996,80,8,0.31,1.868,0.1,3.105,0.293,2.064,0.049,5.973
factor_1005,1H,57583,60,8,0.345,2.118,0.078,4.428,0.299,2.127,0.072,4.149
factor_1005,2H,34346,80,10,0.433,2.147,0.09,4.815,0.302,2.008,0.062,4.874
factor_1005,4H,62268,80,10,0.44,2.155,0.089,4.942,0.276,1.849,0.063,4.384
factor_1007,1H,49042,80,10,0.347,2.045,0.1,3.467,0.178,1.154,0.114,1.558
factor_1011,1H,12812,80,10,0.369,2.114,0.099,3.724,-0.116,-0.631,0.189,-0.613
factor_1011,2H,19303,80,10,0.418,2.257,0.083,5.037,0.024,0.139,0.133,0.177
factor_1011,4H,31454,80,10,0.447,2.59,0.087,5.137,0.032,0.191,0.115,0.279
factor_1013,1H,68550,80,10,0.366,2.513,0.087,4.212,-0.032,-0.235,0.126,-0.257
factor_1013,2H,52807,80,10,0.153,0.871,0.125,1.226,-0.219,-1.462,0.261,-0.841
factor_1013,4H,33701,80,10,0.291,1.669,0.147,1.978,0.124,0.819,0.131,0.946
factor_1018,1H,25608,80,10,0.475,2.755,0.077,6.167,-0.043,-0.262,0.278,-0.156
factor_1018,2H,92970,80,10,0.49,2.916,0.069,7.104,0.03,0.174,0.137,0.218
factor_1018,4H,57020,80,10,0.426,2.557,0.071,6.002,0.138,0.79,0.121,1.138
factor_1019,1H,26830,80,10,0.386,2.335,0.065,5.941,0.173,1.181,0.104,1.659
factor_1019,2H,58395,80,10,0.364,2.208,0.08,4.553,-0.242,-1.527,0.236,-1.025
factor_1019,4H,30210,80,10,0.397,2.46,0.097,4.098,0.055,0.33,0.102,0.54
factor_1021,1H,73789,60,8,0.445,2.302,0.083,5.356,0.116,0.72,0.088,1.315
factor_1021,2H,62653,60,8,0.381,1.964,0.103,3.695,0.137,0.742,0.142,0.968
factor_1021,4H,27684,60,8,0.452,2.493,0.102,4.435,0.085,0.492,0.105,0.814
factor_1024,1H,28943,60,8,0.329,1.9,0.094,3.504,0.263,1.665,0.078,3.378
factor_1024,2H,2894,60,8,0.465,2.843,0.072,6.46,0.31,1.844,0.051,6.083
factor_1024,4H,20429,60,8,0.394,2.472,0.075,5.253,0.29,1.735,0.073,3.978
factor_1027,1H,73816,60,8,0.52,2.222,0.098,5.303,0.276,1.512,0.113,2.439
factor_1027,2H,63837,60,8,0.502,2.183,0.126,3.981,0.335,1.816,0.105,3.192
factor_1027,4H,3026,60,8,0.443,2.025,0.114,3.886,0.28,1.531,0.125,2.241
factor_1033,1H,5354,60,8,0.514,2.636,0.088,5.841,-0.029,-0.165,0.236,-0.122
factor_1033,2H,82083,60,8,0.657,2.72,0.1,6.565,0.258,1.299,0.121,2.132
factor_1033,4H,67746,60,8,0.709,2.812,0.099,7.163,0.253,1.29,0.112,2.259
factor_1034,1H,26093,60,8,0.258,1.86,0.059,4.376,0.054,0.331,0.127,0.425
factor_1034,2H,65748,60,8,0.463,2.47,0.088,5.262,0.111,0.595,0.167,0.662
factor_1034,3H,95270,60,6,0.36,2.31,0.074,4.858,0.129,0.793,0.126,1.025
factor_1034,4H,76833,60,8,0.326,2.251,0.077,4.237,0.13,0.698,0.145,0.898
factor_1039,1H,42117,60,8,0.404,2.381,0.072,5.616,-0.162,-0.863,0.239,-0.676
factor_1039,2H,5107,60,8,0.409,2.276,0.087,4.699,0.317,1.71,0.084,3.775
factor_1039,3H,37758,60,8,0.401,2.338,0.086,4.66,0.599,2.892,0.073,8.203
factor_1039,4H,24558,60,8,0.361,1.985,0.083,4.351,0.495,2.382,0.108,4.58
factor_1042,1H,58781,60,8,0.488,2.799,0.074,6.598,0.304,1.955,0.047,6.468
factor_1043,1H,30898,60,7,0.412,2.27,0.07,5.879,0.406,2.825,0.076,5.336
factor_1047,1H,10715,60,8,0.38,2.195,0.064,5.942,-0.069,-0.413,0.151,-0.455
factor_1047,2H,41520,60,8,0.428,2.485,0.086,4.973,0.337,2.391,0.036,9.358
factor_1048,1H,68326,60,7,0.453,2.413,0.075,6.046,-0.002,-0.011,0.182,-0.012
factor_1048,2H,9709,60,7,0.486,2.491,0.099,4.905,0.24,1.252,0.141,1.699
factor_1048,4H,98626,60,7,0.419,2.212,0.081,5.179,0.359,1.815,0.074,4.854
factor_1052,1H,73296,60,7,0.476,2.894,0.07,6.8,0.109,0.704,0.147,0.741
factor_1052,2H,71455,60,7,0.471,2.8,0.071,6.63,0.34,2.172,0.096,3.542
