目录因子编号,报告因子编号,行情周期,随机种子,种群数量,迭代代数,名称核验,参数组编号,参数,报告适应度,报告仓位变动次数,样本内算术年化收益,样本内夏普,样本内固定本金回撤,样本内收益回撤比,样本外算术年化收益,样本外夏普,样本外固定本金回撤,样本外收益回撤比
factor_1005,factor_1005,1H,57583,60,8,一致,1,"{'a': 246, 'b': 13, 'c': 158, 'period': 131}",3.256,,0.345,2.118,0.078,4.428,0.299,2.127,0.072,4.149
factor_1005,factor_1005,1H,57583,60,8,一致,2,"{'a': 246, 'b': 13, 'c': 156, 'period': 131}",3.177,,0.345,2.107,0.079,4.364,0.303,2.153,0.07,4.323
factor_1005,factor_1005,1H,57583,60,8,一致,3,"{'a': 244, 'b': 9, 'c': 160, 'period': 131}",3.141,,0.347,2.114,0.08,4.343,0.294,2.093,0.065,4.518
factor_1005,factor_1005,1H,57583,60,8,一致,4,"{'a': 244, 'b': 7, 'c': 166, 'period': 131}",3.101,,0.333,2.031,0.078,4.273,0.301,2.157,0.064,4.7
factor_1005,factor_1005,1H,57583,60,8,一致,5,"{'a': 238, 'b': 11, 'c': 158, 'period': 131}",3.067,,0.353,2.141,0.082,4.299,0.28,2.013,0.07,3.998
factor_1005,factor_1005,1H,57583,60,8,一致,6,"{'a': 244, 'b': 11, 'c': 158, 'period': 131}",3.025,,0.344,2.103,0.081,4.242,0.295,2.104,0.066,4.464
factor_1043,factor_1043,1H,30898,60,7,一致,1,"{'a': 101, 'b': 108, 'c': 145}",4.472,11483,0.412,2.27,0.07,5.879,0.406,2.825,0.076,5.336
factor_1043,factor_1043,1H,30898,60,7,一致,2,"{'a': 147, 'b': 89, 'c': 147}",4.084,10880,0.371,2.171,0.068,5.452,0.229,1.774,0.063,3.635
factor_1043,factor_1043,1H,30898,60,7,一致,3,"{'a': 145, 'b': 93, 'c': 149}",3.432,10723,0.351,2.03,0.072,4.881,0.19,1.465,0.086,2.204
factor_1043,factor_1043,1H,30898,60,7,一致,4,"{'a': 122, 'b': 106, 'c': 187}",3.351,8735,0.396,2.359,0.08,4.954,0.31,2.437,0.064,4.836
factor_1043,factor_1043,1H,30898,60,7,一致,5,"{'a': 122, 'b': 108, 'c': 189}",3.246,8750,0.401,2.365,0.082,4.888,0.28,2.093,0.073,3.831
factor_1043,factor_1043,1H,30898,60,7,一致,6,"{'a': 124, 'b': 108, 'c': 187}",3.131,8855,0.404,2.403,0.084,4.814,0.289,2.237,0.082,3.519
factor_1048,factor_1048,1H,68326,60,7,一致,1,"{'a': 144, 'b': 374, 'c': 206, 'd': 13, 'e': 134, 'f': 370}",4.163,7772,0.453,2.413,0.075,6.046,-0.002,-0.011,0.182,-0.012
factor_1048,factor_1048,1H,68326,60,7,一致,2,"{'a': 132, 'b': 370, 'c': 210, 'd': 17, 'e': 132, 'f': 370}",3.756,7790,0.469,2.525,0.081,5.789,-0.009,-0.047,0.173,-0.053
factor_1048,factor_1048,1H,68326,60,7,一致,3,"{'a': 132, 'b': 370, 'c': 210, 'd': 15, 'e': 132, 'f': 366}",3.748,7864,0.468,2.511,0.081,5.78,0.039,0.199,0.178,0.219
factor_1048,factor_1048,1H,68326,60,7,一致,4,"{'a': 142, 'b': 372, 'c': 206, 'd': 15, 'e': 134, 'f': 370}",3.714,7830,0.458,2.44,0.08,5.721,-0.021,-0.108,0.19,-0.111
factor_1048,factor_1048,1H,68326,60,7,一致,5,"{'a': 132, 'b': 368, 'c': 210, 'd': 19, 'e': 130, 'f': 368}",3.706,7836,0.465,2.508,0.081,5.738,-0.004,-0.019,0.171,-0.022
factor_1048,factor_1048,1H,68326,60,7,一致,6,"{'a': 134, 'b': 370, 'c': 208, 'd': 15, 'e': 132, 'f': 366}",3.677,7962,0.439,2.353,0.078,5.634,0.024,0.124,0.174,0.141
factor_1048,factor_1048,4H,98626,60,7,一致,1,"{'a': 18, 'b': 223, 'c': 58, 'd': 349, 'e': 345, 'f': 80}",3.133,7366,0.419,2.212,0.081,5.179,0.359,1.815,0.074,4.854
factor_1048,factor_1048,4H,98626,60,7,一致,2,"{'a': 16, 'b': 229, 'c': 361, 'd': 300, 'e': 347, 'f': 78}",2.597,7081,0.383,2.162,0.082,4.667,0.439,2.146,0.072,6.096
factor_1048,factor_1048,4H,98626,60,7,一致,3,"{'a': 16, 'b': 229, 'c': 361, 'd': 300, 'e': 347, 'f': 76}",2.522,7172,0.363,2.073,0.08,4.542,0.425,2.095,0.069,6.154
factor_1048,factor_1048,4H,98626,60,7,一致,4,"{'a': 16, 'b': 225, 'c': 58, 'd': 351, 'e': 345, 'f': 78}",2.47,7486,0.385,2.039,0.084,4.589,0.352,1.755,0.093,3.786
factor_1048,factor_1048,4H,98626,60,7,一致,5,"{'a': 18, 'b': 221, 'c': 58, 'd': 351, 'e': 347, 'f': 78}",1.887,7559,0.361,1.929,0.088,4.105,0.373,1.883,0.082,4.552
factor_1048,factor_1048,4H,98626,60,7,一致,6,"{'a': 18, 'b': 223, 'c': 369, 'd': 312, 'e': 332, 'f': 72}",1.782,7543,0.304,1.725,0.08,3.801,0.409,2.014,0.096,4.255
factor_1018,factor_1018,2H,92970,80,10,一致,1,"{'a': 339, 'b': 195, 'c': 225}",6.072,,0.49,2.916,0.069,7.104,0.03,0.174,0.137,0.218
factor_1018,factor_1018,2H,92970,80,10,一致,2,"{'a': 343, 'b': 239, 'c': 202}",6.068,,0.466,2.731,0.066,7.054,0.03,0.172,0.14,0.214
factor_1018,factor_1018,2H,92970,80,10,一致,3,"{'a': 339, 'b': 195, 'c': 202}",5.682,,0.487,2.868,0.072,6.76,0.05,0.271,0.135,0.368
factor_1018,factor_1018,2H,92970,80,10,一致,4,"{'a': 340, 'b': 243, 'c': 202}",5.58,,0.456,2.64,0.069,6.611,0.037,0.222,0.121,0.31
factor_1018,factor_1018,2H,92970,80,10,一致,5,"{'a': 339, 'b': 200, 'c': 215}",5.54,,0.454,2.66,0.069,6.573,0.055,0.307,0.146,0.375
factor_1018,factor_1018,2H,92970,80,10,一致,6,"{'a': 340, 'b': 246, 'c': 222}",5.01,,0.46,2.737,0.075,6.131,0.011,0.063,0.132,0.08
factor_1001,factor_1001,1H,20396,60,8,一致,1,"{'a': 204, 'b': 23, 'c': 234, 'smoothing_period': 75}",-0.899,35451,0.164,0.965,0.101,1.627,-0.025,-0.166,0.152,-0.167
factor_1001,factor_1001,1H,20396,60,8,一致,2,"{'a': 204, 'b': 27, 'c': 236, 'smoothing_period': 75}",-1.075,34920,0.167,0.934,0.106,1.575,-0.032,-0.206,0.136,-0.232
